Study	Author	HR	N	Low CI	Upper CI	Site	Outcome	HR_Largest	HR_Fixed	HR_Random
Ethier JL	Azab 2012 	4.09	316	1.69	9.9	Breast	OS	1.63	2.14	2.56
Ethier JL	Azab 2013	3.6	437	2.13	6.08	Breast	OS	1.63	2.14	2.56
Ethier JL	Bozkurt 2015	2.86	85	1.04	7.86	Breast	OS	1.63	2.14	2.56
Ethier JL	Dirican 2015	1.91	1527	1.31	2.78	Breast	OS	1.63	2.14	2.56
Ethier JL	Forget 2014	2.35	720	1.02	5.44	Breast	OS	1.63	2.14	2.56
Ethier JL	Jia 2015	1.63	1570	1.07	2.48	Breast	OS	1.63	2.14	2.56
Ethier JL	Koh 2014	24.87	157	3.08	201.14	Breast	OS	1.63	2.14	2.56
Ethier JL	Koh 2015	1.45	1435	1.08	1.95	Breast	OS	1.63	2.14	2.56
Ethier JL	Nakano 2014	2.7	167	1.02	7.13	Breast	OS	1.63	2.14	2.56
Ethier JL	Noh 2013	4.08	442	1.62	10.28	Breast	OS	1.63	2.14	2.56
Ethier JL	Pistelli 2015	6.16	90	1.54	24.64	Breast	OS	1.63	2.14	2.56
Ethier JL	Rimando 2016	2.48	461	1.57	3.9	Breast	OS	1.63	2.14	2.56
Ethier JL	Yao 2014	3.63	608	1.59	8.26	Breast	OS	1.63	2.14	2.56
Ethier JL	Asano 2016	11.11	61	0.35	356.75	Breast	DFS	1.5	1.69	1.74
Ethier JL	Pistelli 2015	5.15	90	1.11	23.89	Breast	DFS	1.5	1.69	1.74
Ethier JL	Bozkurt	5.46	85	1.61	18.52	Breast	DFS	1.5	1.69	1.74
Ethier JL	Koh 2014	2.3	157	1.64	9.15	Breast	DFS	1.5	1.69	1.74
Ethier JL	Nakano 2014	2	167	0.94	4.23	Breast	DFS	1.5	1.69	1.74
Ethier JL	Forget 2014	1.99	720	1.17	3.41	Breast	DFS	1.5	1.69	1.74
Ethier JL	Hong 2015	1.87	487	1.15	3.02	Breast	DFS	1.5	1.69	1.74
Ethier JL	Dirican 2015	1.46	1527	1.04	2.05	Breast	DFS	1.5	1.69	1.74
Ethier JL	Jia 2015	1.5	1570	1.14	1.98	Breast	DFS	1.5	1.69	1.74
Ethier JL	Asher 2011	0.87	235	0.52	1.44	Gynecologic	OS	1.3	1.24	1.64
Ethier JL	Badore-Rybicka 2016	1.09	315	0.98	1.21	Gynecologic	OS	1.3	1.24	1.64
